probe	RB_E_001	RB_E_002	RB_E_003	RB_E_004	RB_E_005	RB_E_006	RB_E_007	RB_E_008	RB_E_009	RB_E_011	RB_E_012	RB_E_013	RB_E_014	RB_E_015	RB_E_016	RB_E_017	RB_E_019	RB_E_020	RB_E_021	RB_E_022	RB_E_023	RB_E_025	RB_E_026	RB_E_027	RB_E_028	RB_E_029	RB_E_030	RB_E_030_IC	RB_E_032	RB_E_033	RB_E_034	RB_E_035	RB_E_036	RB_E_037	RB_E_040	RB_E_042	RB_E_044	RB_E_045	RB_E_046_IC	RB_E_048_IC	RB_E_049_IC	RB_E_050	RB_E_051	RB_E_052	RB_E_053	RB_E_054	RB_E_055	RB_E_056	RB_E_057	RB_E_058	RB_E_059	RB_E_060	RB_E_061	RB_E_063	RB_E_064	RB_E_065	RB_E_066	RB_E_067	RB_E_069_FR	RB_E_076	RB_E_077	RB_E_078	RB_E_079	RB_E_080	RB_E_081
cg00047844	10635	10510	12322	12058	11982	13137	13573	6781	12250	8217	9272	9930	9411	6948	7726	8709	8488	8631	9531	6633	7323	10840	11152	11808	12597	14645	7068	9104	12976	9971	11070	11353	11913	13218	8430	12008	8786	12024	8736	8721	5572	7506	8735	9361	8261	8453	11288	11964	12581	13407	8881	13935	10008	12515	9440	8986	11452	11422	11184	11026	9843	10008	8302	9804	8725
cg00048178	26000	25340	30229	25656	25334	25504	22981	23306	21489	19446	16189	24219	16311	13631	16945	20312	16848	16338	17155	13105	16195	24379	20393	22947	25269	24097	16906	20026	22504	20935	28155	28646	32518	29541	12453	27752	14235	29946	18571	13490	12959	17317	21844	18169	18521	14676	21287	27950	23291	25497	21250	25479	20952	19612	21253	20943	24826	18386	21496	18213	18232	17347	19217	17492	18413
cg00048370	1189	876	920	1172	930	902	1217	1284	634	1061	653	518	607	529	498	466	751	562	1241	349	544	991	1897	809	2219	961	483	666	1113	1513	593	402	1089	1203	550	1744	813	1032	2184	352	743	891	1106	805	456	800	1193	1610	2246	1626	816	939	6935	717	2462	1055	3722	3143	2308	2514	586	404	752	268	479
cg00048381	663	1148	551	658	728	942	997	1525	1133	719	761	528	516	671	456	717	692	655	776	490	615	1065	829	855	863	665	825	1441	1279	658	1100	1049	962	924	506	1424	719	921	1077	1187	1752	829	1177	1189	806	723	1193	1083	863	733	973	747	814	727	878	474	1100	1130	668	163	508	219	436	348	273
cg00048436	4820	5986	3990	3486	5185	3711	6027	11045	4764	2838	8124	1847	9054	8940	8972	7507	8752	4744	3569	6617	4234	5446	4423	5761	3374	5278	5417	7424	3933	4431	3986	7775	7635	7056	4915	9226	5339	7591	4872	4981	7756	8543	7395	6923	6926	8220	5938	8800	4676	4021	3437	5615	3643	3026	4012	4392	3620	6111	4895	2215	3467	3765	5246	3986	1960
cg00048697	2684	1286	2535	1202	1371	1141	5051	2847	1248	2466	789	1074	567	2672	1148	2206	1063	1066	1367	924	1814	1258	1203	1673	3600	1054	1925	3538	2099	1735	1392	2060	5178	1703	1285	4516	1059	2447	2350	1086	2215	3670	2502	2110	1264	957	5133	9881	5900	6824	4578	2195	2864	3413	2801	1610	2312	2601	1461	1227	1174	640	778	820	688
cg00048705	14237	12020	11411	6003	8834	8563	9978	21135	8021	3773	10419	16465	9436	8897	9924	11387	9635	8481	9003	6376	6866	15603	13867	13199	14136	15553	6905	10813	13654	7865	10806	7579	14804	21033	8403	17025	8462	16608	11450	9981	13264	11211	13423	9810	7578	10872	18292	13341	14418	16106	14251	16637	5887	12435	11843	11451	10150	7978	9230	10434	10408	13403	9570	11179	12228
cg00048743	1574	917	552	448	420	1327	1673	2014	924	1059	573	1165	1663	1034	1145	1932	1596	1510	1990	934	1063	2078	1871	429	1204	513	1088	1273	626	2044	494	572	1392	4533	1023	485	1620	1321	1152	695	846	2411	1148	2098	340	1340	3479	3569	1583	2471	2242	1254	1899	898	2161	994	1537	1875	3490	362	619	1622	1433	1112	1682
cg00048746	25869	24235	25723	22156	21643	22746	23099	19300	24440	16706	18752	25036	17719	16246	15499	16946	17318	17576	18340	14374	14488	26867	25979	25830	24217	25020	14182	16732	27062	20048	25904	25588	25193	30728	14867	26639	15115	25518	20181	15274	13891	17633	18055	20608	16934	18552	27047	24114	24605	27239	20868	26657	23845	25087	23098	25085	27202	24020	28864	18233	20974	22241	21209	22242	20258
cg00048759	14316	15662	16443	14708	16030	17020	16794	14073	17170	7452	7063	11469	7689	5418	6533	7201	6571	6669	6833	5563	5813	14332	16123	13873	16094	17259	5537	7571	17397	7834	13445	16591	18031	17761	6421	19403	7202	16393	7073	4774	5175	4634	7163	7511	6245	6890	18630	16684	18663	19741	13614	20415	16228	17604	15244	13994	14746	14561	15336	15103	14804	15911	15069	13555	13405
cg00048832	4847	10879	7212	7111	7903	7838	6214	13811	7484	11725	10372	7105	10028	10776	10155	11155	11914	11123	10702	7467	7810	9487	10118	8834	6703	11637	7402	11511	6581	11302	10566	8458	10884	9345	7360	12611	8470	13114	15566	8087	10386	10388	9606	12320	10921	11068	8324	13995	8461	9346	8423	5889	9910	4774	9774	6809	9219	6909	7275	4301	4646	3651	7615	5113	4749
cg00048838	18498	16141	21992	16596	16826	15624	14277	15623	13199	22805	12007	14700	11785	11554	13441	15918	12843	13306	12368	8733	12925	15218	11785	13995	13881	15193	13505	19900	11525	10490	18934	18860	23283	21028	9146	22798	9662	21790	18283	15381	11450	13559	15923	14285	15568	13246	13840	17788	13894	14941	12779	15211	15539	9940	16479	12456	13059	11674	13884	10457	11038	11622	13419	10218	11069
cg00049033	22297	15850	20792	15239	16265	16187	17029	13031	17871	12087	10295	19714	12677	8961	11192	12563	11866	13684	13339	10880	10538	23311	21173	20266	19741	18082	10039	11842	20795	13791	15847	23684	20535	25517	11660	24851	11884	20616	15239	3914	3359	13405	9963	15023	10067	12628	22727	21825	19180	22223	18726	20633	22474	17632	19852	20289	22890	19901	22176	16769	16034	17950	17068	17102	19699
cg00049047	17234	15542	18769	15146	15104	15275	16272	10861	15184	12784	12507	17783	11842	11591	11243	12598	12900	12621	11167	9164	10103	17821	16851	15760	16184	17123	9898	11582	17086	13148	16583	18953	17638	19037	10814	17518	10962	20715	13283	6072	7194	13305	12409	14273	12650	13718	17086	19194	15444	16236	14557	19203	15572	17489	16519	17494	19922	15879	18819	13035	14288	14797	14559	12762	15517
cg00049102	611	1107	896	701	722	988	859	1990	636	898	810	926	829	915	687	793	1140	696	815	696	673	924	1117	872	842	875	919	1867	1021	864	1158	818	1012	629	588	874	671	868	1527	1307	1476	935	1334	975	872	839	784	1412	884	910	775	1000	720	674	532	930	986	883	1173	495	502	463	469	543	407
cg00049156	838	554	520	675	494	400	1018	1139	759	3260	1148	1027	565	550	334	649	805	727	738	609	534	986	1285	795	1999	536	621	1190	569	1005	3439	251	882	874	515	1145	583	762	786	350	477	467	1147	1008	1181	746	1209	1814	2259	1263	1348	580	1462	743	1380	578	896	895	1368	244	646	379	390	656	452
cg00049253	25991	27294	26815	25628	25197	22931	24013	21689	23865	18589	20367	25258	18990	16654	15653	17267	16985	18048	19842	14169	14561	24805	24191	23660	24012	26872	16550	18824	24052	19927	26853	27806	26127	27404	15732	29654	15026	28057	20534	20586	17111	19225	18746	21244	18704	18872	24066	24964	26222	25525	21456	26990	25046	26116	21660	24154	26828	20147	25187	18968	21015	19948	23386	21787	20384
cg00049286	7352	7808	8957	7444	7190	8466	9734	3786	7956	7516	7132	6837	6780	5680	6064	6872	6289	6517	7202	5456	5591	6606	7326	7534	7719	8393	5433	6697	8483	8619	7703	7925	8370	7195	6140	8934	6759	8384	6697	3880	3246	6113	6741	8866	6503	6803	8383	7473	8863	9538	6226	8735	7684	6928	6878	6474	8084	8080	7847	6593	6466	6522	4532	6473	6455
cg00049323	16435	14216	14445	12436	13085	15328	13036	10226	13149	11110	10762	15054	10261	11108	10316	10132	10393	11655	8532	8804	8948	11351	13148	11942	14494	13645	9218	11403	13912	11868	13435	16995	14483	17936	9590	17240	9895	14625	12278	9454	8489	12589	13332	13287	9882	11667	15448	14794	13671	13723	13324	18194	11459	13033	12189	15223	15779	12732	14834	10621	12696	14707	15822	13896	15362
cg00049380	665	629	607	771	837	1033	529	804	586	638	388	728	405	141	326	440	312	158	276	299	527	884	828	905	785	786	535	395	850	847	576	680	810	855	370	536	511	693	481	332	329	494	564	484	244	299	594	298	554	564	522	687	443	664	802	478	996	723	792	210	405	375	589	370	211
cg00049382	6281	7039	5096	4064	4790	3655	3941	13508	4172	6219	6973	7725	2757	5541	5920	7317	6635	6495	5819	4479	5150	7567	7040	5972	7842	5898	4506	9774	6322	3936	7855	7001	7796	6093	5711	10500	5368	7453	10183	5925	8699	5658	7477	6850	6656	6890	7239	13303	7774	8785	7879	6153	7081	3299	9193	6034	7134	6232	8330	1632	2152	1571	1915	3407	2008
cg00049400	115	152	157	114	141	141	300	38	180	188	124	167	260	177	175	173	161	337	213	211	216	207	75	53	196	97	213	344	205	178	47	292	158	256	250	173	308	226	165	216	207	229	270	177	262	166	257	236	183	239	190	537	38	64	147	131	60	512	235	136	194	229	125	245	119
cg00049411	26318	23514	24837	22604	22577	21979	23173	16496	22763	12069	13051	23555	11956	10923	11358	13232	13016	13158	12358	10179	10609	25665	24846	24471	25154	24024	10931	13043	24436	12747	26050	22313	22461	27945	11375	23441	11189	24351	14437	10963	8489	12457	15573	14984	12796	13791	24717	20658	23717	22418	19016	26882	23303	25867	19963	22175	25757	20854	27231	17741	18870	20129	20842	18760	19890
cg00049440	4463	2829	6418	2102	1998	1425	2174	9847	9624	12107	2512	3367	13134	2043	10396	11493	12815	10013	5550	4969	5919	14919	8017	5416	12832	2865	5898	5069	7195	5583	2932	1805	4024	6459	9125	2709	5632	3115	13792	1579	2044	5227	5213	6716	4936	7364	5242	15896	17228	15487	17691	1916	12466	13619	6153	12907	10794	15984	1914	1605	5543	7614	2179	1106	2389
cg00049502	18913	14505	14220	11172	10980	9896	10441	12284	12535	13283	14416	16456	15047	12968	13107	13457	14715	13779	16055	11613	10748	16552	15284	16655	14546	15730	11364	10547	15581	11361	16763	14397	17276	21271	11231	13181	12457	18389	13796	4069	5200	14380	15572	16592	13619	14389	14272	15826	15772	18306	13261	15700	15119	9869	14685	13332	16761	11750	17801	10351	11452	9290	6613	9338	9909
cg00049595	28800	20645	27052	20293	16697	18018	19374	9715	14930	22241	15039	20112	15025	13720	15744	17071	14513	14159	13600	11505	14525	19802	16689	13898	19894	17377	14280	15699	18665	17573	23758	26243	26787	27819	12456	21265	12722	25116	14110	10381	5597	16266	18480	16116	17111	12902	20115	18546	20126	19879	18081	14860	16059	19294	20029	17898	18497	12829	21257	13181	18982	21505	18503	16612	18753
cg00049616	2923	2465	2413	2310	2233	2483	1741	3316	2257	1483	1084	2008	1554	1268	1355	1526	1118	1738	1165	1333	1292	2805	2686	2826	2541	2886	1283	2016	2754	1197	2303	2170	2496	2992	1461	3117	1279	2567	1942	1197	1653	1877	2345	1694	1371	1750	2077	2957	2617	3464	2647	2174	1992	1155	2179	1993	1715	2618	2449	1621	1208	1084	835	1506	1531
cg00049664	18221	15959	17771	2183	4006	2232	14812	7607	15198	12570	8970	15537	12071	9320	11115	12188	11867	11806	4298	10352	7301	18878	16356	4468	18727	1448	8951	10644	15482	9825	1703	13267	20910	16815	7928	19244	11012	12323	10559	3435	3650	6954	12392	11081	8212	12045	20478	22776	15743	20243	17026	19821	10521	15967	13138	18358	11117	14648	16878	12038	11679	10580	12533	14695	14597
cg00049691	2164	2591	2487	2192	2547	2396	1946	1792	2307	1751	1990	1745	1740	1574	1668	1490	1690	1504	1924	1404	1383	2046	2238	2229	1644	2380	1602	1975	2054	1627	2306	2634	2844	2764	1220	3069	1407	2837	2362	2401	2010	2095	2800	2070	1868	1707	2766	2481	4731	2620	1912	2475	1986	2344	2301	1685	2315	2986	2824	1234	1616	1194	1204	2154	1265
cg00049709	3407	2365	1968	1254	1871	1449	2203	1762	1500	3510	1555	1623	922	1036	1423	1797	1636	1308	1414	1043	1505	1525	1071	1687	10121	1494	944	1631	1606	1865	1400	2061	1891	2571	1501	2337	1254	1679	2227	636	581	1989	1446	1844	1128	1598	3020	10289	6166	7712	3732	3006	1788	6140	2748	2183	1952	3486	8429	1558	3124	1665	1445	2238	1612
cg00049718	8286	8864	9720	8482	7382	8534	9638	4361	8505	8147	9014	6144	9130	6875	7556	8792	7976	8319	9347	6442	6634	6561	7347	8568	7667	7079	6754	8304	8371	9919	7571	7892	8607	9184	7147	10431	8698	7743	9620	4982	4625	6595	7943	8719	8011	8259	8015	8500	8602	10943	6915	8348	8220	5497	8215	6069	6770	7805	7852	6647	6453	5444	5830	5373	5396
cg00049729	18715	22916	21822	16904	14390	12610	17755	12903	19617	20861	22541	19006	23318	21263	19899	21940	22345	23058	21829	18453	17975	22200	20405	21585	19026	23238	19377	21544	20290	27512	22748	22815	21072	20830	20166	24786	18341	14451	25898	13605	10061	23870	22732	25790	19988	22531	21231	16670	19433	19383	16543	17584	21619	18918	18917	19359	25706	15100	23117	16534	18775	18175	20011	17685	20919
cg00049868	1730	748	1310	664	903	423	5448	1253	188	756	471	678	421	453	368	275	536	499	511	403	524	928	635	1174	2272	798	562	584	669	438	1053	966	2234	1457	604	1138	584	1128	563	475	629	633	934	967	546	429	1627	1847	2162	1141	1123	1109	767	1532	930	914	846	1325	907	730	610	417	364	389	657
cg00049883	6500	4277	6496	4706	4572	9858	9599	2732	3094	4082	2856	3996	1572	2409	1840	4554	2343	2085	3894	2053	2179	3178	6006	4126	11684	2509	2091	4203	4010	7871	1806	4840	5489	4040	1970	4814	2089	5463	3936	850	1162	2494	2904	2942	2522	3160	8475	10988	11365	12232	6726	4103	13986	11900	9631	4590	11255	12863	8214	3237	3755	3136	4754	3252	3195
cg00049892	1318	998	1039	2624	2378	1735	4172	5504	796	1515	600	2629	642	3209	2441	2115	1985	3084	2606	511	1498	1145	1188	2381	4084	1734	866	1342	1242	2662	926	690	1960	1123	1055	2299	589	1375	1737	1286	1907	3606	1319	1285	1577	1043	2541	6927	4313	4006	3237	1371	2003	2459	4285	667	1744	1583	2573	1906	738	235	500	421	943
cg00049947	25714	24398	23611	19007	19858	21074	18685	15409	18723	14130	11885	20927	13761	12665	11869	13416	14134	13327	15084	10854	11328	22451	21648	20681	22048	24598	11857	13388	20094	13517	20436	25006	21700	28410	13128	24013	12587	24681	16421	11813	10392	15453	15332	17802	13510	14313	21424	21740	22740	23178	18999	24360	22263	23366	19027	18628	22850	18189	23455	16973	17444	18757	17471	18367	19485
cg00049973	26627	26733	29475	27560	28011	26405	27190	20227	28089	22999	24677	28511	26114	20975	20587	22402	24434	24127	22828	19630	20095	31895	28674	29301	27719	33497	21469	24988	29046	26600	33118	27104	26489	31683	20106	29202	19893	32983	29909	25074	20972	23757	24229	25528	22642	23938	27490	28172	29889	29337	23749	32133	28625	23893	24196	25721	32509	21385	28479	19359	20132	18856	23326	20615	23958
cg00050133	538	724	396	440	137	397	590	2267	923	665	460	587	1114	467	989	1257	879	1149	731	691	758	1118	429	687	614	1323	625	404	538	574	616	305	760	1535	524	1143	1053	569	467	438	882	886	1268	1031	566	1004	792	1262	779	785	911	471	357	503	687	667	558	298	715	208	260	514	645	290	430
cg00050152	14225	16241	14737	14723	15065	16298	11287	9049	14890	10616	11775	12027	10474	8743	9676	10260	10025	10092	11311	8291	8585	13591	13808	14599	15671	15472	8742	9741	16224	13193	14407	17277	14306	15562	7622	16979	10983	9395	9928	8708	4387	9220	10999	11769	9670	10048	15433	14590	17615	18169	13324	17097	14357	16812	14379	12934	13661	15465	13515	13125	12808	13419	13379	11802	10967
cg00050224	2030	2397	2788	2113	1113	2498	1190	1401	1896	1335	1228	1498	1474	1122	1115	1195	1398	1238	881	777	1361	1665	1602	1502	1662	2032	962	1857	1576	1150	2348	2162	1910	2282	1341	2778	1139	1707	1441	1278	1524	1877	1708	2053	1496	1353	1943	3004	1687	2110	1888	2008	1766	1730	1477	2112	1862	1435	2265	1084	1498	1064	1386	1240	998
cg00050247	29442	26393	30115	26333	26662	26810	25157	28178	25989	20175	21855	29078	21751	18843	19332	23437	21267	21228	20589	16682	18953	28415	25643	26490	25329	30626	18864	22130	26538	24553	30341	32791	32999	30406	18122	31171	19731	33332	23001	22111	19759	21600	23368	23762	21721	19984	27500	29887	28040	27819	24677	29234	26733	27513	26292	25834	29751	22985	27175	22463	22037	23489	26649	24990	23871
cg00050250	4996	5472	5519	3933	4105	5425	5398	6591	3794	3856	3739	5454	3372	3474	3648	3919	3329	3512	3674	2849	3203	6969	4928	5269	4706	5284	3156	4297	4424	4278	5948	5786	6101	5969	3097	5122	3722	5833	5277	3368	3244	4731	4584	4444	3721	3887	6588	7442	8318	6443	5324	5005	4127	4589	5848	4908	5753	6194	4964	3837	3397	2317	2519	3718	2996
cg00050271	1063	688	692	773	743	948	779	1379	1031	536	452	757	460	407	580	618	518	562	500	578	473	1127	1140	1108	1513	1048	763	785	962	615	706	968	1055	1214	529	1616	423	584	688	583	379	882	743	930	573	641	1589	2071	1000	1525	1596	865	1394	662	979	1063	781	1111	1319	480	434	623	606	490	821
cg00050289	810	630	592	701	810	693	733	1056	672	490	370	590	479	334	388	405	304	364	212	388	540	759	685	697	713	773	296	466	792	526	615	360	560	982	342	404	307	682	470	436	566	613	399	897	304	327	553	1339	632	625	479	884	736	621	469	263	314	580	617	450	353	518	366	395	308
cg00050294	30282	30295	31304	26190	26453	26232	29444	23028	28418	20369	22483	29799	24563	20575	19835	21508	23402	22908	16045	18411	19670	29135	28323	27797	33640	24709	19216	19400	29082	22990	24744	28430	31042	34595	19831	31966	21823	29330	23843	11811	9632	23613	20161	24877	19581	21293	31269	31624	29970	31622	25076	34618	16485	33286	23390	29722	26816	15664	26449	25624	27097	31966	31555	28514	28446
cg00050312	20860	21475	24211	20707	20328	21398	20217	14322	22774	13837	14675	21778	13953	12994	12600	14357	13842	14183	14657	11058	10806	22379	23320	22582	20981	24863	12173	13724	22436	15322	26351	20988	22153	22877	11439	22765	12091	23514	16996	9331	7892	15140	15233	16582	14678	15823	20903	20783	22125	23124	18413	26734	22091	20548	18825	19686	25012	17418	22635	17060	16461	17910	20821	17716	16071
cg00050336	2416	2612	2891	2282	2083	1195	2975	7007	2877	4008	2074	2720	3296	2802	2975	3910	2735	3442	3325	2761	2630	2892	2877	2808	9149	2837	2380	6587	2038	5866	3194	4269	3895	3816	2602	3871	2749	2928	7033	4769	6986	3311	4588	3605	2894	2515	6680	7601	7012	11086	6730	1754	4126	3451	5410	3318	4878	11581	8283	3860	2518	2022	1335	1929	1322
cg00050375	4494	3291	4694	4418	4764	4678	4894	8784	2893	2426	1574	3251	1538	1781	2773	3281	1818	1725	2687	1320	2239	2889	2448	3196	2676	3346	2361	4436	3085	3302	4282	3550	5390	4509	1663	4209	1436	4688	6102	4306	5824	3068	3173	2742	1779	2119	3034	5813	5043	4442	5488	3695	5762	3971	4669	3309	5984	3162	3179	2661	2891	2347	2373	2153	2572
cg00050402	12508	13075	3059	10642	17675	16862	13707	9933	11121	16610	10813	1454	11195	8374	12221	14910	10957	10251	10836	10559	8688	3548	12114	12040	14917	14694	3453	15050	12781	8292	12099	21004	18635	14166	13472	14751	14510	3322	4529	12560	5467	11499	16269	13111	15209	14983	13823	20351	18266	17208	10013	19035	11995	13772	9033	16439	11254	6790	11534	11279	9625	13624	1227	7828	9583
cg00050482	2281	1242	2202	632	1147	814	2431	2447	2198	804	1537	1005	3410	483	2251	3274	1027	1064	5316	1174	2530	2175	3439	2552	2398	1336	724	984	2744	5077	1555	1212	2421	2367	932	3304	1314	1257	3008	720	1369	2243	1338	2228	620	2815	7193	7899	3534	4140	4808	1206	7663	2440	7271	2668	9253	4020	12901	7585	1013	1275	921	1253	782
cg00050496	5908	2174	5258	1628	3162	2548	3435	1704	1923	4305	2899	2182	1965	1928	4334	4780	2378	3014	4293	2144	2919	3173	2167	3684	4903	3174	3367	3693	3002	1545	5134	3172	7564	5446	2412	2640	2344	4569	3505	886	764	2635	4862	3048	6250	3401	6826	6763	6559	7346	4711	1542	3022	2698	4138	3302	3716	6142	3668	1092	3391	2953	1923	3115	2698
cg00050555	13046	11974	12537	13905	15497	15319	15449	9700	15540	10952	11624	11335	11960	9500	10554	12248	10792	10609	12793	7904	9115	13068	13842	14726	15685	13876	8394	9752	16759	14263	11324	14852	14220	14938	10056	14857	11970	12761	11047	8605	6372	9217	9766	10749	9923	11144	14710	13668	14551	16240	10705	15145	12426	15808	12035	11908	13191	13606	13690	12882	12471	12729	11925	12843	11374
cg00050590	18845	21855	20963	20379	20640	21814	22493	16267	23420	14237	14646	20149	14741	12217	12632	14970	15005	15062	15382	12457	12164	21963	21926	23238	24764	22193	12876	16159	20850	16990	21719	20413	25340	21613	12959	25337	13771	22196	19992	13456	12571	14841	16458	17643	15539	14734	19277	22560	20568	20674	16270	21049	21121	21283	19992	20066	23247	20388	19398	14787	14994	16560	14606	13490	16028
cg00050618	2388	2373	3169	2862	2547	3117	5599	2977	2118	2225	1234	2002	1056	1133	1195	1403	1063	1283	1114	887	828	2059	2114	1923	2111	1990	1206	1443	2371	913	1455	2307	2689	2676	1177	2884	1133	2189	1593	711	1338	1448	1718	1261	585	969	2463	3642	5022	3361	2833	2403	2029	2156	1586	1690	2169	4254	1790	8450	1373	917	2112	3152	1153
cg00050654	1899	1718	1869	1202	2734	2879	1231	3032	1484	1706	1139	1393	6392	1484	2621	2021	4052	2678	2072	3742	1497	4818	3624	1821	2391	4730	1559	2330	3788	6177	2703	1848	1970	7377	1947	1971	4627	2840	5831	3179	7541	5268	2463	1823	3006	2969	6654	7221	5103	4859	5190	967	2759	3434	6127	1790	2585	1522	5310	1036	1314	2188	1775	1088	1608
cg00050692	3455	2351	3028	2228	1887	2357	2385	1981	2402	1732	2073	2803	1450	1445	1590	1932	1740	1623	2317	1679	1641	2862	2363	2265	1556	2456	1580	2537	1948	2571	2800	2605	4393	3304	1349	3440	1400	3065	2433	1426	2102	2111	2530	2677	1545	1696	3482	3114	3092	2441	1787	2712	5779	2061	2839	1823	4080	11729	2820	1644	2094	1223	1528	1691	2176
cg00050792	1742	1942	2656	2079	1478	3179	4959	3250	1531	1885	814	1559	1133	802	1065	1084	1100	1080	1382	905	704	1663	1855	1801	2360	1905	957	2522	1883	1487	2259	1853	4416	3265	1157	2583	883	1938	1948	1214	2016	1311	1818	1605	1090	1234	1873	5023	3003	3294	2692	2003	2243	1269	2340	1946	1936	1894	2027	4516	627	1202	787	678	799
cg00050872	4199	4277	4102	2739	2426	2432	3098	9549	2350	1185	705	2280	851	705	702	819	900	762	789	656	845	3011	2099	2564	2742	2396	692	2908	2185	927	2908	3369	3574	4675	782	5153	796	3476	2884	2142	4050	1446	1756	1500	686	824	3939	8475	3935	7491	4537	2810	4229	2825	3916	2804	3578	4262	4701	1929	2259	1788	1866	1806	1341
cg00050938	2478	2221	2238	1353	1349	1429	1820	3620	1202	1071	1235	1015	931	996	1295	1266	1412	1228	1048	1002	820	1251	938	1044	1233	1567	1050	2639	1292	1252	1947	2030	2120	2067	1103	2372	1036	1792	2321	2115	3113	2020	2208	1885	959	1623	2147	2039	2004	2275	1465	1910	1948	1656	1804	1202	1848	2110	7878	1535	1059	1200	1485	1358	1165
cg00050984	9979	11781	11602	9680	9185	12988	11578	10493	10491	9127	8912	8441	8815	6497	7394	8042	7702	7975	8218	6604	6202	9220	8807	10987	11079	11729	7142	9179	11138	10025	10935	11861	10866	10546	6652	12539	8291	12817	9585	11157	6742	7305	7364	8912	7455	7457	9750	12413	12286	13685	8904	12048	10352	11840	10470	8186	10179	10200	9138	10187	8774	9020	8520	8515	8185
cg00051068	25597	23206	24594	21708	22086	22656	22037	16896	23023	16399	18209	26780	19256	17297	17457	17985	18034	17942	19580	14237	15478	28558	27163	25572	25741	28372	14617	15914	26906	22792	20416	27195	25931	28329	16327	27136	15911	27457	20238	9560	9622	19127	18914	20322	18252	18909	27423	23325	24196	26108	22761	29186	25489	23545	26190	25611	28769	23840	27833	19128	21232	21746	22744	21347	21365
cg00051154	4582	258	2659	2496	3317	1931	2754	3325	3111	7484	13178	2982	7335	10789	7010	12222	13234	12404	12910	9416	10320	2645	4929	4978	3268	2190	9075	10453	1659	10945	6109	4619	6287	7468	10330	4308	10132	7721	14121	2432	5173	12756	7400	13938	12188	11947	2837	6765	6098	7183	5556	4461	4477	2953	6190	5663	5986	5746	7654	3593	3035	3504	2770	4117	4734
cg00051179	3312	5925	4325	4130	4645	4586	4249	6935	3744	5215	4825	3549	4734	4238	4380	4847	5251	4515	5093	3605	3215	4503	5116	4717	4369	5756	3519	5734	4090	4575	5211	5236	5917	5608	3354	7870	4412	6822	5888	3390	3230	3776	4257	4638	4375	4199	4766	8197	4993	5991	4742	3469	4887	2755	5264	3724	4709	4503	4193	2746	2667	2329	2670	3013	2515
cg00051307	2989	2619	3564	2032	2221	2390	5771	2625	1568	2452	1505	1996	1554	1442	1711	1789	1570	1371	1338	1007	1109	2556	2447	1897	3450	1981	1135	2471	1790	1227	2624	3268	2587	2917	1516	2988	1675	2865	2404	993	926	1786	2309	1898	1419	1516	3512	8389	4783	5925	6044	2021	2170	2787	2309	1871	2248	3040	2383	2051	2087	1051	1180	1462	1535
cg00051371	7236	3628	8768	4625	4589	5934	9844	2864	3542	5338	2731	3569	2280	2751	2669	3715	2876	3168	5925	3213	2886	4136	5585	4643	11240	3732	3121	4932	4521	4969	5620	5742	6889	5893	2626	7314	2824	4313	4390	2121	2440	4157	6173	4486	3572	3846	7855	6905	11374	8254	10408	6033	10703	10599	6255	4220	10599	6617	16038	11605	4769	3455	6837	2475	3469
cg00051483	2795	5381	3749	3451	5954	5902	6674	6182	5235	8923	6189	2417	5811	3028	4756	5687	9594	4092	3163	3021	3763	4009	2774	5326	9649	6234	2440	6098	3393	3923	2744	5876	7870	3669	5880	6880	2068	3421	7701	1118	1529	3866	4021	3021	5034	7018	7086	15246	11306	12901	9647	5930	4524	9814	4265	2385	3526	7341	2613	6471	5550	1845	3607	2652	2902
cg00051510	2898	2716	2680	2070	1852	2367	3017	3875	1347	4747	1645	2101	1380	1869	2184	2145	1749	1424	1707	1068	1491	2342	1656	1602	2554	1924	1833	3830	1531	1652	2227	3323	4928	3731	1182	3074	1408	2339	2657	2583	3793	2507	2987	2283	1985	1756	2479	4664	4620	4032	4327	2271	1932	3705	2265	2176	2014	2129	2495	1433	1411	1532	1372	1993	1378
cg00051546	21766	18235	18100	17245	16679	18328	16255	6834	16749	11789	11880	17804	11295	11080	11641	12487	11923	11136	12133	10125	10100	19713	17727	17781	16713	16216	9466	9426	17800	14782	18680	18934	20882	20873	10309	19081	10571	20708	11291	6373	2601	13486	13183	15058	11994	12718	19840	18935	19314	20219	16265	19068	18387	22414	16219	18646	20498	17744	23074	14732	17801	18406	18003	17103	18240
cg00051590	8576	3713	8912	8177	5444	5232	8099	2428	4305	4761	2889	3846	1460	1768	3518	4687	2753	2678	2122	1989	3550	4639	2520	3488	14365	2614	3563	6742	2571	3702	4872	7690	11598	4572	2070	8937	2547	4220	2989	1184	1688	2338	3750	3690	3275	2742	11187	9972	11186	10409	11068	4286	2802	4268	5061	3157	4274	4605	5326	1790	2613	1104	3505	2975	3064
cg00051595	17874	13280	19789	14881	14618	15468	17005	7546	13655	9783	8783	14228	8593	7900	10646	12855	9806	9229	8749	6640	10170	13112	12105	10628	13924	13599	9973	12589	10428	9201	17187	16249	20170	20816	6773	18130	7509	19830	9741	3472	1794	9734	13340	10149	12217	9798	11931	10909	12375	9927	10927	15136	11669	7106	13010	12241	13915	9146	12712	8717	8907	7759	6094	7138	9418
